# Figure 3: the signed imbalance delta(m) whose vanishing pattern is the notch
rep,m,mult_q0,mult_q1,delta_m
35,-4,1,0,1
35,-3,1,1,0
35,-2,3,1,2
35,-1,3,3,0
35,0,6,3,3
35,1,3,3,0
35,2,3,1,2
35,3,1,1,0
35,4,1,0,1
60,-3,1,2,-1
60,-2,4,4,0
60,-1,5,7,-2
60,0,7,7,0
60,1,5,7,-2
60,2,4,4,0
60,3,1,2,-1
84,-4,1,1,0
84,-3,3,2,1
84,-2,5,5,0
84,-1,9,7,2
84,0,9,9,0
84,1,9,7,2
84,2,5,5,0
84,3,3,2,1
84,4,1,1,0
140a,-4,1,1,0
140a,-3,4,4,0
140a,-2,9,9,0
140a,-1,14,13,1
140a,0,15,15,0
140a,1,14,13,1
140a,2,9,9,0
140a,3,4,4,0
140a,4,1,1,0
140b,-4,2,2,0
140b,-3,6,5,1
140b,-2,9,9,0
140b,-1,13,11,2
140b,0,13,13,0
140b,1,13,11,2
140b,2,9,9,0
140b,3,6,5,1
140b,4,2,2,0
216,-5,2,3,-1
216,-4,7,7,0
216,-3,11,13,-2
216,-2,17,17,0
216,-1,19,22,-3
216,0,22,22,0
216,1,19,22,-3
216,2,17,17,0
216,3,11,13,-2
216,4,7,7,0
216,5,2,3,-1
224,-5,2,1,1
224,-4,6,6,0
224,-3,15,13,2
224,-2,23,23,0
224,-1,31,28,3
224,0,32,32,0
224,1,31,28,3
224,2,23,23,0
224,3,15,13,2
224,4,6,6,0
224,5,2,1,1
280,-5,1,2,-1
280,-4,4,4,0
280,-3,7,10,-3
280,-2,14,14,0
280,-1,16,20,-4
280,0,20,20,0
280,1,16,20,-4
280,2,14,14,0
280,3,7,10,-3
280,4,4,4,0
280,5,1,2,-1
360,-6,2,2,0
360,-5,8,8,0
360,-4,19,19,0
360,-3,33,32,1
360,-2,45,45,0
360,-1,55,53,2
360,0,57,57,0
360,1,55,53,2
360,2,45,45,0
360,3,33,32,1
360,4,19,19,0
360,5,8,8,0
360,6,2,2,0
