"# Figure 4: the full classification to a,b,c <= 12. Z never intersects the quark-hosting set"
a,b,c,boxes,parity,in_Z_degenerate,hosts_quark_cell,pairs_at
0,0,1,3,odd,False,False,even m
0,0,2,6,even,False,False,odd m
0,0,3,9,odd,False,False,even m
0,0,4,12,even,False,False,odd m
0,0,5,15,odd,False,False,even m
0,0,6,18,even,False,False,odd m
0,0,7,21,odd,False,False,even m
0,0,8,24,even,False,False,odd m
0,0,9,27,odd,False,False,even m
0,0,10,30,even,False,False,odd m
0,0,11,33,odd,False,False,even m
0,0,12,36,even,False,False,odd m
0,1,0,2,even,True,False,odd m
0,1,1,5,odd,False,False,even m
0,1,2,8,even,False,False,odd m
0,1,3,11,odd,False,True,even m
0,1,4,14,even,False,False,odd m
0,1,5,17,odd,False,True,even m
0,1,6,20,even,False,False,odd m
0,1,7,23,odd,False,True,even m
0,1,8,26,even,False,False,odd m
0,1,9,29,odd,False,True,even m
0,1,10,32,even,False,False,odd m
0,1,11,35,odd,False,True,even m
0,1,12,38,even,False,False,odd m
0,2,0,4,even,False,False,odd m
0,2,1,7,odd,False,True,even m
0,2,2,10,even,False,False,odd m
0,2,3,13,odd,False,True,even m
0,2,4,16,even,False,False,odd m
0,2,5,19,odd,False,True,even m
0,2,6,22,even,False,False,odd m
0,2,7,25,odd,False,True,even m
0,2,8,28,even,False,False,odd m
0,2,9,31,odd,False,True,even m
0,2,10,34,even,False,False,odd m
0,2,11,37,odd,False,True,even m
0,2,12,40,even,False,False,odd m
0,3,0,6,even,True,False,odd m
0,3,1,9,odd,False,True,even m
0,3,2,12,even,False,False,odd m
0,3,3,15,odd,False,True,even m
0,3,4,18,even,False,False,odd m
0,3,5,21,odd,False,True,even m
0,3,6,24,even,False,False,odd m
0,3,7,27,odd,False,True,even m
0,3,8,30,even,False,False,odd m
0,3,9,33,odd,False,True,even m
0,3,10,36,even,False,False,odd m
0,3,11,39,odd,False,True,even m
0,3,12,42,even,False,False,odd m
0,4,0,8,even,False,False,odd m
0,4,1,11,odd,False,True,even m
0,4,2,14,even,False,False,odd m
0,4,3,17,odd,False,True,even m
0,4,4,20,even,False,False,odd m
0,4,5,23,odd,False,True,even m
0,4,6,26,even,False,False,odd m
0,4,7,29,odd,False,True,even m
0,4,8,32,even,False,False,odd m
0,4,9,35,odd,False,True,even m
0,4,10,38,even,False,False,odd m
0,4,11,41,odd,False,True,even m
0,4,12,44,even,False,False,odd m
0,5,0,10,even,True,False,odd m
0,5,1,13,odd,False,True,even m
0,5,2,16,even,False,False,odd m
0,5,3,19,odd,False,True,even m
0,5,4,22,even,False,False,odd m
0,5,5,25,odd,False,True,even m
0,5,6,28,even,False,False,odd m
0,5,7,31,odd,False,True,even m
0,5,8,34,even,False,False,odd m
0,5,9,37,odd,False,True,even m
0,5,10,40,even,False,False,odd m
0,5,11,43,odd,False,True,even m
0,5,12,46,even,False,False,odd m
0,6,0,12,even,False,False,odd m
0,6,1,15,odd,False,True,even m
0,6,2,18,even,False,False,odd m
0,6,3,21,odd,False,True,even m
0,6,4,24,even,False,False,odd m
0,6,5,27,odd,False,True,even m
0,6,6,30,even,False,False,odd m
0,6,7,33,odd,False,True,even m
0,6,8,36,even,False,False,odd m
0,6,9,39,odd,False,True,even m
0,6,10,42,even,False,False,odd m
0,6,11,45,odd,False,True,even m
0,6,12,48,even,False,False,odd m
0,7,0,14,even,True,False,odd m
0,7,1,17,odd,False,True,even m
0,7,2,20,even,False,False,odd m
0,7,3,23,odd,False,True,even m
0,7,4,26,even,False,False,odd m
0,7,5,29,odd,False,True,even m
0,7,6,32,even,False,False,odd m
0,7,7,35,odd,False,True,even m
0,7,8,38,even,False,False,odd m
0,7,9,41,odd,False,True,even m
0,7,10,44,even,False,False,odd m
0,7,11,47,odd,False,True,even m
0,7,12,50,even,False,False,odd m
0,8,0,16,even,False,False,odd m
0,8,1,19,odd,False,True,even m
0,8,2,22,even,False,False,odd m
0,8,3,25,odd,False,True,even m
0,8,4,28,even,False,False,odd m
0,8,5,31,odd,False,True,even m
0,8,6,34,even,False,False,odd m
0,8,7,37,odd,False,True,even m
0,8,8,40,even,False,False,odd m
0,8,9,43,odd,False,True,even m
0,8,10,46,even,False,False,odd m
0,8,11,49,odd,False,True,even m
0,8,12,52,even,False,False,odd m
0,9,0,18,even,True,False,odd m
0,9,1,21,odd,False,True,even m
0,9,2,24,even,False,False,odd m
0,9,3,27,odd,False,True,even m
0,9,4,30,even,False,False,odd m
0,9,5,33,odd,False,True,even m
0,9,6,36,even,False,False,odd m
0,9,7,39,odd,False,True,even m
0,9,8,42,even,False,False,odd m
0,9,9,45,odd,False,True,even m
0,9,10,48,even,False,False,odd m
0,9,11,51,odd,False,True,even m
0,9,12,54,even,False,False,odd m
0,10,0,20,even,False,False,odd m
0,10,1,23,odd,False,True,even m
0,10,2,26,even,False,False,odd m
0,10,3,29,odd,False,True,even m
0,10,4,32,even,False,False,odd m
0,10,5,35,odd,False,True,even m
0,10,6,38,even,False,False,odd m
0,10,7,41,odd,False,True,even m
