"# Table 2: AHMN's hypothesis holds for the gauge adjoint and the 35, and fails for every admissible rep"
sector,abc,boxes_a+2b+3c,parity,odd_m_pairing,even_m_notch,hosts_quark_cell
gauge adjoint 15,"(1,0,1)",4,even,True,False,False
35,"(4,0,0)",4,even,True,False,False
60,"(0,2,1)",7,odd,False,True,True
84,"(0,1,3)",11,odd,False,True,True
140a,"(1,1,2)",9,odd,False,True,True
140b,"(0,3,1)",9,odd,False,True,True
224,"(0,2,3)",13,odd,False,True,True
280,"(0,4,1)",11,odd,False,True,True
360,"(1,2,2)",11,odd,False,True,True
756,"(1,3,2)",13,odd,False,True,True
